,Unnamed: 0,Location 地點,Standard BS1363,Medium IEC 62196 (≦20kW),Medium SAE J1772,Medium Others,Quick CHAdeMO,Quick CCS Combo 2,Quick IEC 62196 (>20kW),Quick GB/T 20234.3 (DC),Quick Others,"Remark for ""Others"" 附註",Latitude,Longitude,count_tot
259,199,Dragon Centre 恆龍工商中心,1,,,,,,,,,,22.33997043,114.1495449,1
260,200,Kowloon Plaza 九龍廣場,1,,,,,,,,,,22.32092642,114.162242,1
261,201,Manhattan Hill 曼克頓山,1,,,,,,,,,,22.33556808,114.1425247,1
262,202,Laws Commercial Plaza 羅氏商業廣場,,2,,,,,,,,,22.33833513,114.1498313,2
263,203,Cheung Sha Wan Estate 長沙灣邨,4,5,,,,,,,,,22.33471707,114.1563679,9
264,204,D2 Place Two,,,,8,,,,,,Tesla Wall Connector,22.33631793,114.1475261,8
265,205,Shek Kip Mei Park 石硤尾公園,,1,,,,,,,,,22.33932776,114.170592,1
266,206,Shek Kip Mei Park Sport Centre 石硤尾公園體育館,,1,,,,,,,,,22.33741139,114.1695619,1
267,207,City University of Hong Kong-Press Printing Section Outdoor Carpark 香港城市大學印刷組外露天停車場,,,,,,,2,,,,22.33659991,114.1737033,2
268,208,City University of Hong Kong-Bank of China (HK) Complex Carpark 香港城市大學中國銀行(香港)綜合樓停車場,,,,,,,1,,,,22.33745811,114.171792,1
269,209,City University of Hong Kong-Lau Ming Wai Academic Building Carpark 香港城市大學劉鳴煒學術樓停車場,,,,,,,1,,,,22.33806477,114.1727261,1
270,210,So Uk Estate (Phase 2) 蘇屋邨（第二期）,2,,,,,,,,,,22.34067236,114.1568621,2
271,211,V Walk,,62,,,2,2,30,,,,22.32736237,114.1545015,96
272,,V Walk,,,,,,,,,3,Tesla Supercharger,22.32736237,114.1545015,3
273,212,Hoi Lok Court 凱樂苑,10,,,,,,,,,,22.3279645,114.1488597,10
274,213,Heya Aqua 喜漾,,2,,,,,,,,,22.33915377,114.154602,2
275,214,Cronin Garden 樂年花園,,2,,,,,,,,,22.33657671,114.1610776,2
276,215,Heya Crystal 喜薈,,7,,,,,,,,,22.33986847,114.1546102,7
277,216,CRE Centre 華創中心,,,,,,,3,,,,22.33675586,114.1471435,3
278,217,Lai Tsui Court 麗翠苑,5,,,,,,,,,,22.33369486,114.154821,5
279,218,Sham Shui Po Sports Ground 深水埗運動場,,2,,,,,,,,,22.33830911,114.1516023,2
280,219,The Campton,,,,,,,,,14,Tesla Wall Connector,22.33378156,114.1604627,14
281,,The Campton,,,,,,,,,3,Tesla Supercharger,22.33378156,114.1604627,3
